"31/08/2015","US OPEN","S","780","1","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"29/06/2015","WIMBLEDON","R128","10","2","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"24/05/2015","FRENCH OPEN","R64","70","3","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"19/01/2015","AUSTRALIAN OPEN","Q","430","4","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"25/08/2014","US OPEN","R32","130","5","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"23/06/2014","WIMBLEDON","S","780","6","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"25/05/2014","FRENCH OPEN","F","1300","7","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"13/01/2014","AUSTRALIAN OPEN","Q","430","8","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"26/08/2013","US OPEN","R16","280","9","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"24/06/2013","WIMBLEDON","R64","100","10","http://www.wtatennis.com/players/player/13516/title/simona-halep"
